Species,Family,Order,SQS,Conservation status,Larval feeding guild,Adult feeding guild,Broad biotope,Habitat,Resources,Specific assemblage type,Habitat score,Associations
Viviparus contectus,Viviparidae,[unassigned] Caenogastropoda,4,LC;NS,herbivore,herbivore,wetland,marshland,"base status >> base, shallow freshwater pond >> aquatic: sparsely vegetated",W211,"grazing marsh - salinity: 0, grazing marsh - status: 2",
Viviparus viviparus,Viviparidae,[unassigned] Caenogastropoda,1,,herbivore,herbivore,wetland,running water,flow >> slow flow,W125,coarse woody debris: d,
Auriculinella bidentata,Ellobiidae,[unassigned] Pulmonata,4,LC;NS,herbivore,,coastal,rocky shore,,,"grazing marsh - salinity: 2, grazing marsh - status: 2",
Apocorophium lacustre,Corophiidae,Amphipoda,8,RDB 3,saprophagous,,coastal,saline lagoon,aquatic: sparsely vegetated,,,
Chelicorophium curvispinum,Corophiidae,Amphipoda,1,,,,coastal; wetland,brackish pools & ditches; running water,"aquatic: sparsely vegetated, flow >> slow flow",,coarse woody debris: e,
Corophium multisetosum,Corophiidae,Amphipoda,,,,,coastal,brackish pools & ditches; saltmarsh,aquatic: sparsely vegetated,,,
Corophium volutator,Corophiidae,Amphipoda,,,,,,,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Monocorophium insidiosum,Corophiidae,Amphipoda,,,saprophagous,,coastal,saline lagoon,aquatic: sparsely vegetated,,,
Crangonyx pseudogracilis,Crangonyctidae,Amphipoda,1,,,,wetland,marshland,shallow freshwater pond >> temporary water dependant,,,
Crangonyx subterraneus,Crangonyctidae,Amphipoda,,,,,wetland,running water,,,,
Gammarus chevreuxi,Gammaridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saline lagoon; saltmarsh,aquatic: well vegetated,,,
Gammarus duebeni,Gammaridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saltmarsh,aquatic: sparsely vegetated,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Gammarus insensibilis,Gammaridae,Amphipoda,8,Legal Protection;RDB 3;Section 41 Priority Species,,,coastal,brackish pools & ditches; saline lagoon; saltmarsh,aquatic: well vegetated,,,
Gammarus lacustris,Gammaridae,Amphipoda,1,,,,wetland,marshland,,,coarse woody debris: d,
Gammarus salinus,Gammaridae,Amphipoda,,,,,,,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Gammarus tigrinus,Gammaridae,Amphipoda,1,,,,wetland,marshland,,,,
Gammarus zaddachi,Gammaridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saltmarsh,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Allomelita pellucida,Melitidae,Amphipoda,4,RDB K,,,coastal,brackish pools & ditches; saltmarsh,aquatic: well vegetated,,,
Niphargus aquilex,Niphargidae,Amphipoda,1,,saprophagous,predator,wetland,running water,,,,
Niphargus fontanus,Niphargidae,Amphipoda,1,,predator,predator,wetland,,"shallow freshwater pond >> aquatic: sparsely vegetated, springs & caves",,,Proasellus cavaticus
Niphargus glenniei,Niphargidae,Amphipoda,4,RDB K;Section 41 Priority Species,saprophagous,predator,wetland,running water,,,,
Niphargus kochianus,Niphargidae,Amphipoda,1,,saprophagous,predator,wetland,running water,,,,
Arcitalitrus dorrieni,Talitridae,Amphipoda,1,,,,,,,,,
Cryptorchestia cavimana,Talitridae,Amphipoda,1,,saprophagous,saprophagous,coastal; wetland,brackish pools & ditches; running water,"flow >> slow flow, unmodified fast flowing streams",,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Macarorchestia roffensis,Talitridae,Amphipoda,0,,,,coastal,brackish pools & ditches; saltmarsh,,,,
Orchestia aestuarensis,Talitridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saltmarsh,,,,
Orchestia gammarellus,Talitridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saltmarsh,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Artemia salina,Artemiidae,Anostraca,,Extinct,,,coastal,saline lagoon,aquatic: well vegetated,,,
Agelena labyrinthica,Agelenidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",F001,,Arthropoda
Malthonica ferruginea,Agelenidae,Araneae,1,,predator,predator,,,,,,
Malthonica picta,Agelenidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"calcareous substrates >> chalk, habitats >> exposed chalk, soil humidity >> dry",F111,,Arthropoda
Malthonica silvestris,Agelenidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> woodland litter",,,Arthropoda
Tegenaria agrestis,Agelenidae,Araneae,1,,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Tegenaria atrica,Agelenidae,Araneae,1,,predator,predator,,,,,,
Tegenaria domestica,Agelenidae,Araneae,1,,predator,predator,,,,,,
Tegenaria duellica,Agelenidae,Araneae,1,,predator,predator,,,,,,
Tegenaria parietina,Agelenidae,Araneae,1,,predator,predator,,,,,,
Tegenaria saeva,Agelenidae,Araneae,1,,predator,predator,,,,,,
Textrix denticulata,Agelenidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Amaurobius fenestralis,Amaurobiidae,Araneae,1,,predator,predator,tree-associated,decaying wood,"bark & cambium >> beneath loose bark, dead trunks & branches >> trunks & branches",,,"Arthropoda, Fagales"
Amaurobius ferox,Amaurobiidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> woodland litter",,,Arthropoda
Amaurobius similis,Amaurobiidae,Araneae,1,,predator,predator,tree-associated,decaying wood,"bark & cambium >> beneath loose bark, dead trunks & branches >> trunks & branches",,,"Arthropoda, Fagales"
Coelotes atropos,Amaurobiidae,Araneae,1,,predator,predator,,,,,,
Coelotes terrestris,Amaurobiidae,Araneae,4,NS;pLC,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> woodland litter",,,Arthropoda
Anyphaena accentuata,Anyphaenidae,Araneae,1,,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Agalenatea redii,Araneidae,Araneae,1,,,,open habitats,,,F003,,
Araneus alsine,Araneidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> damp",,,Arthropoda
Araneus angulatus,Araneidae,Araneae,4,NS;pLC,predator,predator,tree-associated,arboreal,,,,"Arthropoda, Fagales"
Araneus diadematus,Araneidae,Araneae,1,,predator,predator,,,,,,
Araneus marmoreus,Araneidae,Araneae,1,,predator,predator,,,,,,
Araneus quadratus,Araneidae,Araneae,1,,predator,predator,,,,,,
Araneus sturmi,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,conifer or broadleaved >> conifer only,,,"Arthropoda, Fagales"
Araneus triguttatus,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,conifer or broadleaved >> broadleaved only,,,"Arthropoda, Fagales"
Araniella alpica,Araneidae,Araneae,16,NR;pEN,predator,predator,tree-associated,arboreal,,,,"Arthropoda, Fagus, Taxus"
Araniella cucurbitina,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,conifer or broadleaved >> broadleaved only,,,"Arthropoda, Fagales, Quercus"
Araniella cucurbitina sensu lato,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,conifer or broadleaved >> broadleaved only,,,
Araniella displicata,Araneidae,Araneae,8,NR;pNT,predator,predator,tree-associated,arboreal,conifer or broadleaved >> conifer only,,,"Arthropoda, Pinus"
Araniella inconspicua,Araneidae,Araneae,4,NS;pLC,predator,predator,tree-associated,arboreal,,,,"Arthropoda, Fagales, Quercus"
Araniella opisthographa,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,conifer or broadleaved >> broadleaved only,,,"Arthropoda, Fagales, Quercus"
Argiope bruennichi,Araneidae,Araneae,1,None;pLC,predator,predator,open habitats,tall sward & scrub,"base status >> base rich, habitats >> sward/field layer, soil humidity >> dry",,,Arthropoda
Cercidia prominens,Araneidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,habitats >> litter & ground layer,,calcareous grassland: Moderate,Arthropoda
Cyclosa conica,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,canopy >> scrub at wood edge/glade,,,"Arthropoda, Fagales"
Gibbaranea bituberculata,Araneidae,Araneae,32,Extinct;pRE,predator,predator,,,,,,
Gibbaranea gibbosa,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,,,,"Arthropoda, Fagales"
Hypsosinga albovittata,Araneidae,Araneae,4,NS;pLC,,,open habitats,,,F003,calcareous grassland: Low,
Hypsosinga heri,Araneidae,Araneae,8,None;pDD,predator,predator,,,,,,
Hypsosinga pygmaea,Araneidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,habitats >> sward/field layer,,calcareous grassland: Moderate,Arthropoda
Hypsosinga sanguinea,Araneidae,Araneae,4,NS;pLC,,,open habitats,,,F003,"acid mire: C, calcareous grassland: Low",
Larinioides cornutus,Araneidae,Araneae,1,,predator,predator,wetland,peatland,"wet/damp peat, wetland vegetation",,,Arthropoda
Larinioides patagiatus,Araneidae,Araneae,4,NS;pLC,predator,predator,tree-associated,arboreal,conifer or broadleaved >> broadleaved only,,,"Arthropoda, Fagales"
Larinioides sericatus,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,"carr/wet woodland, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Mangora acalypha,Araneidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> dry",,,Arthropoda
Neoscona adianta,Araneidae,Araneae,1,,,,open habitats,,,F003,,
Nuctenea umbratica,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal; decaying wood,"conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches, trunk & branches >> bark predator",,,"Arthropoda, Fagales"
Singa hamata,Araneidae,Araneae,4,NS;pLC,predator,predator,wetland,peatland,wetland vegetation,,acid mire: C,Arthropoda
Stroemiellus stroemi,Araneidae,Araneae,8,NR;pNT,predator,predator,tree-associated,arboreal; decaying wood,trunk & branches >> bark predator,,,"Arthropoda, Pinus, Quercus"
Zilla diodia,Araneidae,Araneae,1,None;pLC,predator,predator,tree-associated,arboreal,canopy >> scrub at wood edge/glade,,,"Arthropoda, Fagales"
Zygiella atrica,Araneidae,Araneae,1,,predator,predator,tree-associated,arboreal,canopy >> scrub at wood edge/glade,,,"Arthropoda, Fagales, Prunus spinosa"
Zygiella x-notata,Araneidae,Araneae,1,,predator,predator,,,,,,
Atypus affinis,Atypidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Moderate,Arthropoda
Clubiona brevipes,Clubionidae,Araneae,1,,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Clubiona caerulescens,Clubionidae,Araneae,8,NR;pVU,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth",,,Arthropoda
Clubiona comta,Clubionidae,Araneae,1,,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Clubiona corticalis,Clubionidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> dry, woodland habitat >> woodland litter",,,Arthropoda
Clubiona diversa,Clubionidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> dry",,,Arthropoda
Clubiona frisia,Clubionidae,Araneae,8,NR;pNT,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, habitats >> litter & ground layer, soil humidity >> damp, soil type >> sand",F111,,"Ammophila arenaria, Arthropoda"
Clubiona genevensis,Clubionidae,Araneae,8,NR;pNT,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Clubiona juvenis,Clubionidae,Araneae,8,NR;pNT,predator,predator,wetland,peatland,wetland vegetation,,,Arthropoda
Clubiona lutescens,Clubionidae,Araneae,1,,predator,predator,,,,,,
Clubiona neglecta sensu lato,Clubionidae,Araneae,1,,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Low,
Clubiona norvegica,Clubionidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub; upland,"habitats >> litter & ground layer, soil humidity >> wet","F003, F221","acid mire: A, peat bog spiders: 1","Bryophyta, Sphagnum"
Clubiona pallidula,Clubionidae,Araneae,1,,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Clubiona phragmitis,Clubionidae,Araneae,1,,predator,predator,wetland,peatland,wetland vegetation,,peat bog spiders: 1,Arthropoda
Clubiona pseudoneglecta,Clubionidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil type >> sand",F111,,Arthropoda
Clubiona reclusa,Clubionidae,Araneae,1,,predator,predator,wetland,peatland,wetland vegetation,,,Arthropoda
Clubiona rosserae,Clubionidae,Araneae,8,NR;pVU;Section 41 Priority Species,predator,predator,wetland,peatland,deep litter,,,Arthropoda
Clubiona stagnatilis,Clubionidae,Araneae,1,,predator,predator,wetland,peatland,wetland vegetation,,peat bog spiders: 1,Arthropoda
Clubiona subsultans,Clubionidae,Araneae,8,NR;pNT,predator,predator,tree-associated,decaying wood,"bark & cambium >> beneath loose bark, conifer or broadleaved >> conifer only",,,"Arthropoda, Pinus"
Clubiona subtilis,Clubionidae,Araneae,1,,predator,predator,wetland,peatland,wetland vegetation,,,Arthropoda
Clubiona terrestris,Clubionidae,Araneae,1,,predator,predator,,,,,,
Clubiona trivialis,Clubionidae,Araneae,1,,,,open habitats,,,F003,,
Phrurolithus festivus,Corinnidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> variable humidity",,,Arthropoda
Phrurolithus minimus,Corinnidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"base status >> base rich, calcareous substrates >> chalk, habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Moderate,Arthropoda
Argyroneta aquatica,Cybaeidae,Araneae,1,,predator,predator,wetland,peatland,shallow freshwater pond >> aquatic: well vegetated,,"grazing marsh - salinity: 0, grazing marsh - status: 2, peat bog spiders: 1",Arthropoda
Altella lucida,Dictynidae,Araneae,32,NR;pCR(PE);Section 41 Priority Species,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> damp, soil type >> sand",F111,,Arthropoda
Argenna patula,Dictynidae,Araneae,4,NS;pLC,predator,predator,coastal,saltmarsh,"saline silt, tidal litter",,,
Argenna subnigra,Dictynidae,Araneae,4,NS;pLC,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",F111,,Arthropoda
Cicurina cicur,Dictynidae,Araneae,4,NS;pLC,predator,predator,tree-associated,shaded woodland floor,"base status >> base rich, conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter",,,Arthropoda
Dictyna arundinacea,Dictynidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> dry",,,Arthropoda
Dictyna latens,Dictynidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"base status >> acidic, habitats >> litter & ground layer, soil humidity >> dry",F003,,
Dictyna major,Dictynidae,Araneae,32,NR;pCR,predator,predator,coastal,sandy beach,saline silt,M211,,Arthropoda
Dictyna pusilla,Dictynidae,Araneae,4,NS;pLC;Section 41 Priority Species,predator,predator,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> dry",,,Arthropoda
Dictyna uncinata,Dictynidae,Araneae,1,,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Lathys humilis,Dictynidae,Araneae,1,,predator,predator,tree-associated,arboreal,canopy >> scrub at wood edge/glade,,,"Arthropoda, Ilex, Pinus, Quercus, Taxus"
Lathys nielseni,Dictynidae,Araneae,8,NR;pVU,predator,predator,open habitats,tall sward & scrub,"base status >> acidic, habitats >> sward/field layer, soil humidity >> damp",F003,acid mire: B,
Lathys stigmatisata,Dictynidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",F111,,Arthropoda
Mastigusa arietina,Dictynidae,Araneae,32,Extinct;pRE,predator,predator,tree-associated,decaying wood,"conifer or broadleaved >> broadleaved only, hollow tree cavities >> ant nests",,,
Mastigusa macrophthalma,Dictynidae,Araneae,8,NR;pVU,predator,predator,tree-associated,decaying wood,hollow tree cavities >> ant nests,,,"Fagales, Lasius"
Nigma puella,Dictynidae,Araneae,4,NS;pLC,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Fagales"
Nigma walckenaeri,Dictynidae,Araneae,1,None;pLC,predator,predator,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Arthropoda, Ilex, Laurus"
Dysdera crocata,Dysderidae,Araneae,1,,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> damp",,,Isopoda
Dysdera erythrina,Dysderidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,Isopoda
Harpactea hombergi,Dysderidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, shadiness >> heavy shade, woodland habitat >> woodland litter",,,Arthropoda
Harpactea rubicunda,Dysderidae,Araneae,8,NR;pVU,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,
Eresus cinnaberinus,Eresidae,Araneae,,,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> damp, soil type >> sand",F111,,Formicidae
Eresus sandaliatus,Eresidae,Araneae,8,Legal Protection;NR;pVU;Section 41 Priority Species,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> damp, soil type >> sand",F111,,Formicidae
Callilepis nocturna,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",,soft rock cliff: 3,Arthropoda
Drassodes cupreus,Gnaphosidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Drassodes lapidosus,Gnaphosidae,Araneae,1,,predator,predator,open habitats,short sward & bare ground,soil humidity >> dry,F111,,Arthropoda
Drassodes pubescens,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Drassyllus lutetianus,Gnaphosidae,Araneae,4,NS;pLC,,,,,,,,
Drassyllus praeficus,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"base status >> base rich, calcareous substrates >> chalk, habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Moderate,Arthropoda
Drassyllus pusillus,Gnaphosidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Moderate,Arthropoda
Gnaphosa leporina,Gnaphosidae,Araneae,4,NS;pLC,,,open habitats,,,F003,acid mire: B,
Gnaphosa lugubris,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,soil humidity >> dry,F111,calcareous grassland: Moderate,Arthropoda
Gnaphosa nigerrima,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,wetland,peatland,"base status >> acid, sphagnum/moss lawn",W312,"acid mire: A, peat bog spiders: 1",Arthropoda
Gnaphosa occidentalis,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,coastal,rocky shore; saltmarsh; sandy beach,saline silt,,,Arthropoda
Haplodrassus dalmatensis,Gnaphosidae,Araneae,4,NS;pLC;Section 41 Priority Species,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> dry, soil type >> sand",F111,,Arthropoda
Haplodrassus minor,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,coastal,sandy beach,"saline silt, tidal litter",,,Arthropoda
Haplodrassus signifer,Gnaphosidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Haplodrassus silvestris,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Haplodrassus soerenseni,Gnaphosidae,Araneae,16,NR;pEN,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,,Arthropoda
Haplodrassus umbratilis,Gnaphosidae,Araneae,8,NR;pVU,,,open habitats,,,F003,,
Micaria albovittata,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"base status >> base rich, habitats >> litter & ground layer, soil humidity >> dry",F112,calcareous grassland: Moderate,Arthropoda
Micaria alpina,Gnaphosidae,Araneae,8,NR;pVU,,predator,open habitats,tall sward & scrub; upland,"habitats >> stones, boulders, shingle and scree, soil humidity >> damp","F003, F221",,
Micaria pulicaria,Gnaphosidae,Araneae,1,,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> damp",,,Arthropoda
Micaria silesiaca,Gnaphosidae,Araneae,8,NR;pNT,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> dry, soil type >> sand",F111,,Arthropoda
Micaria subopaca,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,tree-associated,arboreal; decaying wood,"dead trunks & branches >> trunks & branches, trunk & branches >> bark predator",,,"Formicidae, Pinus"
Phaeocedus braccatus,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",F111,calcareous grassland: High,Arthropoda
Scotophaeus blackwalli,Gnaphosidae,Araneae,1,,predator,predator,,,,,,
Scotophaeus scutulatus,Gnaphosidae,Araneae,1,,predator,predator,,,,,,
Trachyzelotes pedestris,Gnaphosidae,Araneae,1,None;pLC,predator,predator,open habitats,tall sward & scrub,"base status >> base rich, habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: High,Arthropoda
Urozelotes rusticus,Gnaphosidae,Araneae,1,,predator,predator,,,,,,
Zelotes apricorum,Gnaphosidae,Araneae,1,,predator,predator,open habitats,short sward & bare ground,soil humidity >> dry,F111,,Arthropoda
Zelotes electus,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> dry, soil type >> sand",F111,,Arthropoda
Zelotes latreillei,Gnaphosidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Low,Arthropoda
Zelotes longipes,Gnaphosidae,Araneae,8,NR;pVU,predator,predator,open habitats,tall sward & scrub,"base status >> acidic, habitats >> litter & ground layer, soil humidity >> dry",F003,,
Zelotes petrensis,Gnaphosidae,Araneae,8,NR;pLC,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",F111,calcareous grassland: Low,Arthropoda
Zelotes subterraneus,Gnaphosidae,Araneae,4,NS;pLC,predator,predator,open habitats,short sward & bare ground,soil humidity >> dry,F111,,Arthropoda
Antistea elegans,Hahniidae,Araneae,1,,predator,predator,wetland,peatland,"wet/damp peat, wetland vegetation",,peat bog spiders: 1,Arthropoda
Cryphoeca silvicola,Hahniidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter",,,Arthropoda
Hahnia candida,Hahniidae,Araneae,8,NR;pVU,predator,predator,open habitats,short sward & bare ground,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Hahnia helveola,Hahniidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"base status >> acidic, conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> woodland litter",,,Arthropoda
Hahnia microphthalma,Hahniidae,Araneae,8,NR;pDD,predator,predator,open habitats,short sward & bare ground,"base status >> base rich, habitats >> litter & ground layer, soil humidity >> dry",F112,,Arthropoda
Hahnia montana,Hahniidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> woodland litter",,,Arthropoda
Hahnia nava,Hahniidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,calcareous grassland: Low,Arthropoda
Hahnia pusilla,Hahniidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,peat bog spiders: 1,Arthropoda
Tuberta maerens,Hahniidae,Araneae,16,NR;pEN,predator,predator,tree-associated,arboreal; decaying wood,trunk & branches >> bark predator,,,"Arthropoda, Pinus, Quercus"
Acartauchenius scurrilis,Linyphiidae,Araneae,8,NR;pNT,predator,predator,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> dry, soil type >> sand",F111,,Tetramorium caespitum
Agnyphantes expunctus,Linyphiidae,Araneae,4,NS;pLC,predator,predator,tree-associated,arboreal,canopy >> scrub at wood edge/glade,,,"Arthropoda, Betula, Juniperus, Larix"
Agyneta cauta,Linyphiidae,Araneae,4,NS;pLC,,,open habitats,,,F003,peat bog spiders: 1,
Agyneta conigera,Linyphiidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> variable humidity",,,Arthropoda
Agyneta decora,Linyphiidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub; upland,"habitats >> litter & ground layer, soil humidity >> variable humidity",,,Arthropoda
Agyneta olivacea,Linyphiidae,Araneae,4,NS;pLC,,,open habitats,,,F003,,
Agyneta ramosa,Linyphiidae,Araneae,1,,predator,predator,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, woodland habitat >> woodland litter",,,Arthropoda
Agyneta subtilis,Linyphiidae,Araneae,1,,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> dry",,,Arthropoda
Allomengea scopigera,Linyphiidae,Araneae,1,,predator,predator,wetland,peatland,wetland vegetation,,,Arthropoda
Allomengea vidua,Linyphiidae,Araneae,4,NS;pLC,predator,predator,wetland,peatland,,,peat bog spiders: 1,Arthropoda
Aphileta misera,Linyphiidae,Araneae,1,,predator,predator,wetland,peatland,"base status >> acid, sphagnum/moss lawn, wetland vegetation",,"acid mire: B, peat bog spiders: 1",Arthropoda
Araeoncus crassiceps,Linyphiidae,Araneae,4,NS;pLC,predator,predator,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,peat bog spiders: 1,Arthropoda
