sampleid	processid
CARR_002_H7	CARR1157-23
CARR_002_H8	CARR1165-23
CARR_002_H9	CARR1173-23
CARR_003_A1	CARR1197-23
CARR_003_A10	CARR1269-23
CARR_003_A11	CARR1277-23
CARR_003_A12	CARR1285-23
CARR_003_A2	CARR1205-23
CARR_003_A3	CARR1213-23
CARR_003_A4	CARR1221-23
CARR_003_A5	CARR1229-23
CARR_003_A6	CARR1237-23
CARR_003_A7	CARR1245-23
CARR_003_A8	CARR1253-23
CARR_003_A9	CARR1261-23
CARR_003_B1	CARR1198-23
CARR_003_B10	CARR1270-23
CARR_003_B11	CARR1278-23
CARR_003_B12	CARR1286-23
CARR_003_B2	CARR1206-23
CARR_003_B3	CARR1214-23
CARR_003_B4	CARR1222-23
CARR_003_B5	CARR1230-23
CARR_003_B6	CARR1238-23
CARR_003_B7	CARR1246-23
CARR_003_B8	CARR1254-23
CARR_003_B9	CARR1262-23
CARR_003_C1	CARR1199-23
CARR_003_C10	CARR1271-23
CARR_003_C11	CARR1279-23
CARR_003_C12	CARR1287-23
CARR_003_C2	CARR1207-23
CARR_003_C3	CARR1215-23
CARR_003_C4	CARR1223-23
CARR_003_C5	CARR1231-23
CARR_003_C6	CARR1239-23
CARR_003_C7	CARR1247-23
CARR_003_C8	CARR1255-23
CARR_003_C9	CARR1263-23
CARR_003_D1	CARR1200-23
CARR_003_D10	CARR1272-23
CARR_003_D11	CARR1280-23
CARR_003_D12	CARR1288-23
CARR_003_D2	CARR1208-23
CARR_003_D3	CARR1216-23
CARR_003_D4	CARR1224-23
CARR_003_D5	CARR1232-23
CARR_003_D6	CARR1240-23
CARR_003_D7	CARR1248-23
CARR_003_D8	CARR1256-23
CARR_003_D9	CARR1264-23
CARR_003_E1	CARR1201-23
CARR_003_E10	CARR1273-23
CARR_003_E11	CARR1281-23
CARR_003_E12	CARR1289-23
CARR_003_E2	CARR1209-23
CARR_003_E3	CARR1217-23
CARR_003_E4	CARR1225-23
CARR_003_E5	CARR1233-23
CARR_003_E6	CARR1241-23
CARR_003_E7	CARR1249-23
CARR_003_E8	CARR1257-23
CARR_003_E9	CARR1265-23
CARR_003_F1	CARR1202-23
CARR_003_F10	CARR1274-23
CARR_003_F11	CARR1282-23
CARR_003_F12	CARR1290-23
CARR_003_F2	CARR1210-23
CARR_003_F3	CARR1218-23
CARR_003_F4	CARR1226-23
CARR_003_F5	CARR1234-23
CARR_003_F6	CARR1242-23
CARR_003_F7	CARR1250-23
CARR_003_F8	CARR1258-23
CARR_003_F9	CARR1266-23
CARR_003_G1	CARR1203-23
CARR_003_G10	CARR1275-23
CARR_003_G11	CARR1283-23
CARR_003_G12	CARR1291-23
CARR_003_G2	CARR1211-23
CARR_003_G3	CARR1219-23
CARR_003_G4	CARR1227-23
CARR_003_G5	CARR1235-23
CARR_003_G6	CARR1243-23
CARR_003_G7	CARR1251-23
CARR_003_G8	CARR1259-23
CARR_003_G9	CARR1267-23
CARR_003_H1	CARR1204-23
CARR_003_H10	CARR1276-23
CARR_003_H11	CARR1284-23
CARR_003_H2	CARR1212-23
CARR_003_H3	CARR1220-23
CARR_003_H4	CARR1228-23
CARR_003_H5	CARR1236-23
CARR_003_H6	CARR1244-23
CARR_003_H7	CARR1252-23
CARR_003_H8	CARR1260-23
CARR_003_H9	CARR1268-23
CARR_004_A1	CARR1292-23
CARR_004_A10	CARR1364-23
CARR_004_A11	CARR1372-23
CARR_004_A12	CARR1380-23
CARR_004_A2	CARR1300-23
CARR_004_A3	CARR1308-23
CARR_004_A4	CARR1316-23
CARR_004_A5	CARR1324-23
CARR_004_A6	CARR1332-23
CARR_004_A7	CARR1340-23
CARR_004_A8	CARR1348-23
CARR_004_A9	CARR1356-23
CARR_004_B1	CARR1293-23
CARR_004_B10	CARR1365-23
CARR_004_B11	CARR1373-23
CARR_004_B12	CARR1381-23
CARR_004_B2	CARR1301-23
CARR_004_B3	CARR1309-23
CARR_004_B4	CARR1317-23
CARR_004_B5	CARR1325-23
CARR_004_B6	CARR1333-23
CARR_004_B7	CARR1341-23
CARR_004_B8	CARR1349-23
CARR_004_B9	CARR1357-23
CARR_004_C1	CARR1294-23
CARR_004_C10	CARR1366-23
CARR_004_C11	CARR1374-23
CARR_004_C12	CARR1382-23
CARR_004_C2	CARR1302-23
CARR_004_C3	CARR1310-23
CARR_004_C4	CARR1318-23
CARR_004_C5	CARR1326-23
CARR_004_C6	CARR1334-23
CARR_004_C7	CARR1342-23
CARR_004_C8	CARR1350-23
CARR_004_C9	CARR1358-23
CARR_004_D1	CARR1295-23
CARR_004_D10	CARR1367-23
CARR_004_D11	CARR1375-23
CARR_004_D12	CARR1383-23
CARR_004_D2	CARR1303-23
CARR_004_D3	CARR1311-23
CARR_004_D4	CARR1319-23
CARR_004_D5	CARR1327-23
CARR_004_D6	CARR1335-23
CARR_004_D7	CARR1343-23
CARR_004_D8	CARR1351-23
CARR_004_D9	CARR1359-23
CARR_004_E1	CARR1296-23
CARR_004_E10	CARR1368-23
CARR_004_E11	CARR1376-23
CARR_004_E12	CARR1384-23
CARR_004_E2	CARR1304-23
CARR_004_E3	CARR1312-23
CARR_004_E4	CARR1320-23
CARR_004_E5	CARR1328-23
CARR_004_E6	CARR1336-23
CARR_004_E7	CARR1344-23
CARR_004_E8	CARR1352-23
CARR_004_E9	CARR1360-23
CARR_004_F1	CARR1297-23
CARR_004_F10	CARR1369-23
CARR_004_F11	CARR1377-23
CARR_004_F12	CARR1385-23
CARR_004_F2	CARR1305-23
CARR_004_F3	CARR1313-23
CARR_004_F4	CARR1321-23
CARR_004_F5	CARR1329-23
CARR_004_F6	CARR1337-23
CARR_004_F7	CARR1345-23
CARR_004_F8	CARR1353-23
CARR_004_F9	CARR1361-23
CARR_004_G1	CARR1298-23
CARR_004_G10	CARR1370-23
CARR_004_G11	CARR1378-23
CARR_004_G12	CARR1386-23
CARR_004_G2	CARR1306-23
CARR_004_G3	CARR1314-23
CARR_004_G4	CARR1322-23
CARR_004_G5	CARR1330-23
CARR_004_G6	CARR1338-23
CARR_004_G7	CARR1346-23
CARR_004_G8	CARR1354-23
CARR_004_G9	CARR1362-23
CARR_004_H1	CARR1299-23
CARR_004_H10	CARR1371-23
CARR_004_H11	CARR1379-23
CARR_004_H2	CARR1307-23
CARR_004_H3	CARR1315-23
CARR_004_H4	CARR1323-23
CARR_004_H5	CARR1331-23
CARR_004_H6	CARR1339-23
CARR_004_H7	CARR1347-23
CARR_004_H8	CARR1355-23
CARR_004_H9	CARR1363-23
CARR_005_A1	CARR1387-23
CARR_005_A10	CARR1459-23
CARR_005_A11	CARR1467-23
CARR_005_A12	CARR1475-23
CARR_005_A2	CARR1395-23
CARR_005_A3	CARR1403-23
CARR_005_A4	CARR1411-23
CARR_005_A5	CARR1419-23
CARR_005_A6	CARR1427-23
CARR_005_A7	CARR1435-23
CARR_005_A8	CARR1443-23
CARR_005_A9	CARR1451-23
CARR_005_B1	CARR1388-23
CARR_005_B10	CARR1460-23
CARR_005_B11	CARR1468-23
