sampleid	processid
MOZZ00000872A_C8	SHAP1607-23
MOZZ00000872A_C9	SHAP1616-23
MOZZ00000872A_D1	SHAP1547-23
MOZZ00000872A_D10	SHAP1626-23
MOZZ00000872A_D11	SHAP1635-23
MOZZ00000872A_D12	SHAP1644-23
MOZZ00000872A_D2	SHAP1556-23
MOZZ00000872A_D3	SHAP1565-23
MOZZ00000872A_D4	SHAP1573-23
MOZZ00000872A_D5	SHAP1582-23
MOZZ00000872A_D6	SHAP1591-23
MOZZ00000872A_D7	SHAP1600-23
MOZZ00000872A_D8	SHAP1609-23
MOZZ00000872A_D9	SHAP1617-23
MOZZ00000872A_E1	SHAP1548-23
MOZZ00000872A_E10	SHAP1627-23
MOZZ00000872A_E11	SHAP1636-23
MOZZ00000872A_E12	SHAP1645-23
MOZZ00000872A_E2	SHAP1557-23
MOZZ00000872A_E3	SHAP1566-23
MOZZ00000872A_E4	SHAP1574-23
MOZZ00000872A_E5	SHAP1583-23
MOZZ00000872A_E6	SHAP1592-23
MOZZ00000872A_E7	SHAP1601-23
MOZZ00000872A_E8	SHAP1610-23
MOZZ00000872A_E9	SHAP1618-23
MOZZ00000872A_F1	SHAP1549-23
MOZZ00000872A_F10	SHAP1628-23
MOZZ00000872A_F11	SHAP1637-23
MOZZ00000872A_F12	SHAP1646-23
MOZZ00000872A_F2	SHAP1558-23
MOZZ00000872A_F3	SHAP1567-23
MOZZ00000872A_F4	SHAP1576-23
MOZZ00000872A_F5	SHAP1584-23
MOZZ00000872A_F6	SHAP1593-23
MOZZ00000872A_F7	SHAP1602-23
MOZZ00000872A_F8	SHAP1611-23
MOZZ00000872A_F9	SHAP1620-23
MOZZ00000872A_G1	SHAP1550-23
MOZZ00000872A_G10	SHAP1629-23
MOZZ00000872A_G11	SHAP1638-23
MOZZ00000872A_G12	SHAP1647-23
MOZZ00000872A_G2	SHAP1559-23
MOZZ00000872A_G3	SHAP1568-23
MOZZ00000872A_G4	SHAP1577-23
MOZZ00000872A_G5	SHAP1585-23
MOZZ00000872A_G6	SHAP1594-23
MOZZ00000872A_G7	SHAP1603-23
MOZZ00000872A_G8	SHAP1612-23
MOZZ00000872A_G9	SHAP1621-23
MOZZ00000872A_H1	SHAP1551-23
MOZZ00000872A_H10	SHAP1631-23
MOZZ00000872A_H11	SHAP1639-23
MOZZ00000872A_H2	SHAP1560-23
MOZZ00000872A_H3	SHAP1569-23
MOZZ00000872A_H4	SHAP1578-23
MOZZ00000872A_H5	SHAP1587-23
MOZZ00000872A_H6	SHAP1595-23
MOZZ00000872A_H7	SHAP1604-23
MOZZ00000872A_H8	SHAP1613-23
MOZZ00000872A_H9	SHAP1622-23
MOZZ00000873A_A1	SHAP1438-23
MOZZ00000873A_A10	SHAP1517-23
MOZZ00000873A_A11	SHAP1526-23
MOZZ00000873A_A12	SHAP1535-23
MOZZ00000873A_A2	SHAP1447-23
MOZZ00000873A_A3	SHAP1456-23
MOZZ00000873A_A4	SHAP1464-23
MOZZ00000873A_A5	SHAP1473-23
MOZZ00000873A_A6	SHAP1482-23
MOZZ00000873A_A7	SHAP1491-23
MOZZ00000873A_A8	SHAP1500-23
MOZZ00000873A_A9	SHAP1508-23
MOZZ00000873A_B1	SHAP1439-23
MOZZ00000873A_B10	SHAP1518-23
MOZZ00000873A_B11	SHAP1527-23
MOZZ00000873A_B12	SHAP1536-23
MOZZ00000873A_B2	SHAP1448-23
MOZZ00000873A_B3	SHAP1457-23
MOZZ00000873A_B4	SHAP1466-23
MOZZ00000873A_B5	SHAP1474-23
MOZZ00000873A_B6	SHAP1483-23
MOZZ00000873A_B7	SHAP1492-23
MOZZ00000873A_B8	SHAP1501-23
MOZZ00000873A_B9	SHAP1510-23
MOZZ00000873A_C1	SHAP1440-23
MOZZ00000873A_C10	SHAP1519-23
MOZZ00000873A_C11	SHAP1528-23
MOZZ00000873A_C12	SHAP1537-23
MOZZ00000873A_C2	SHAP1449-23
MOZZ00000873A_C3	SHAP1458-23
MOZZ00000873A_C4	SHAP1467-23
MOZZ00000873A_C5	SHAP1475-23
MOZZ00000873A_C6	SHAP1484-23
MOZZ00000873A_C7	SHAP1493-23
MOZZ00000873A_C8	SHAP1502-23
MOZZ00000873A_C9	SHAP1511-23
MOZZ00000873A_D1	SHAP1441-23
MOZZ00000873A_D10	SHAP1521-23
MOZZ00000873A_D11	SHAP1529-23
MOZZ00000873A_D12	SHAP1538-23
MOZZ00000873A_D2	SHAP1450-23
MOZZ00000873A_D3	SHAP1459-23
MOZZ00000873A_D4	SHAP1468-23
MOZZ00000873A_D5	SHAP1477-23
MOZZ00000873A_D6	SHAP1485-23
MOZZ00000873A_D7	SHAP1494-23
MOZZ00000873A_D8	SHAP1503-23
MOZZ00000873A_D9	SHAP1512-23
MOZZ00000873A_E1	SHAP1442-23
MOZZ00000873A_E10	SHAP1522-23
MOZZ00000873A_E11	SHAP1530-23
MOZZ00000873A_E12	SHAP1539-23
MOZZ00000873A_E2	SHAP1451-23
MOZZ00000873A_E3	SHAP1460-23
MOZZ00000873A_E4	SHAP1469-23
MOZZ00000873A_E5	SHAP1478-23
MOZZ00000873A_E6	SHAP1486-23
MOZZ00000873A_E7	SHAP1495-23
MOZZ00000873A_E8	SHAP1504-23
MOZZ00000873A_E9	SHAP1513-23
MOZZ00000873A_F1	SHAP1444-23
MOZZ00000873A_F10	SHAP1523-23
MOZZ00000873A_F11	SHAP1532-23
MOZZ00000873A_F12	SHAP1540-23
MOZZ00000873A_F2	SHAP1452-23
MOZZ00000873A_F3	SHAP1461-23
MOZZ00000873A_F4	SHAP1470-23
MOZZ00000873A_F5	SHAP1479-23
MOZZ00000873A_F6	SHAP1488-23
MOZZ00000873A_F7	SHAP1496-23
MOZZ00000873A_F8	SHAP1505-23
MOZZ00000873A_F9	SHAP1514-23
MOZZ00000873A_G1	SHAP1445-23
MOZZ00000873A_G10	SHAP1524-23
MOZZ00000873A_G11	SHAP1533-23
MOZZ00000873A_G12	SHAP1541-23
MOZZ00000873A_G2	SHAP1453-23
MOZZ00000873A_G3	SHAP1462-23
MOZZ00000873A_G4	SHAP1471-23
MOZZ00000873A_G5	SHAP1480-23
MOZZ00000873A_G6	SHAP1489-23
MOZZ00000873A_G7	SHAP1497-23
MOZZ00000873A_G8	SHAP1506-23
MOZZ00000873A_G9	SHAP1515-23
MOZZ00000873A_H1	SHAP1446-23
MOZZ00000873A_H10	SHAP1525-23
MOZZ00000873A_H11	SHAP1534-23
MOZZ00000873A_H2	SHAP1455-23
MOZZ00000873A_H3	SHAP1463-23
MOZZ00000873A_H4	SHAP1472-23
MOZZ00000873A_H5	SHAP1481-23
MOZZ00000873A_H6	SHAP1490-23
MOZZ00000873A_H7	SHAP1499-23
MOZZ00000873A_H8	SHAP1507-23
MOZZ00000873A_H9	SHAP1516-23
MOZZ00000874A_A1	SHAP1648-23
MOZZ00000874A_A10	SHAP1728-23
MOZZ00000874A_A11	SHAP1737-23
MOZZ00000874A_A12	SHAP1746-23
MOZZ00000874A_A2	SHAP1658-23
MOZZ00000874A_A3	SHAP1667-23
MOZZ00000874A_A4	SHAP1676-23
MOZZ00000874A_A5	SHAP1684-23
MOZZ00000874A_A6	SHAP1693-23
MOZZ00000874A_A7	SHAP1702-23
MOZZ00000874A_A8	SHAP1711-23
MOZZ00000874A_A9	SHAP1720-23
MOZZ00000874A_B1	SHAP1649-23
MOZZ00000874A_B10	SHAP1730-23
MOZZ00000874A_B11	SHAP1738-23
MOZZ00000874A_B12	SHAP1747-23
MOZZ00000874A_B2	SHAP1659-23
MOZZ00000874A_B3	SHAP1668-23
MOZZ00000874A_B4	SHAP1677-23
MOZZ00000874A_B5	SHAP1686-23
MOZZ00000874A_B6	SHAP1694-23
MOZZ00000874A_B7	SHAP1703-23
MOZZ00000874A_B8	SHAP1712-23
MOZZ00000874A_B9	SHAP1721-23
MOZZ00000874A_C1	SHAP1650-23
MOZZ00000874A_C10	SHAP1731-23
MOZZ00000874A_C11	SHAP1739-23
MOZZ00000874A_C12	SHAP1748-23
MOZZ00000874A_C2	SHAP1660-23
MOZZ00000874A_C3	SHAP1669-23
MOZZ00000874A_C4	SHAP1678-23
MOZZ00000874A_C5	SHAP1687-23
MOZZ00000874A_C6	SHAP1695-23
MOZZ00000874A_C7	SHAP1704-23
MOZZ00000874A_C8	SHAP1713-23
MOZZ00000874A_C9	SHAP1722-23
MOZZ00000874A_D1	SHAP1653-23
MOZZ00000874A_D10	SHAP1732-23
MOZZ00000874A_D11	SHAP1741-23
MOZZ00000874A_D12	SHAP1749-23
MOZZ00000874A_D2	SHAP1661-23
MOZZ00000874A_D3	SHAP1670-23
MOZZ00000874A_D4	SHAP1679-23
MOZZ00000874A_D5	SHAP1688-23
MOZZ00000874A_D6	SHAP1697-23
MOZZ00000874A_D7	SHAP1705-23
MOZZ00000874A_D8	SHAP1714-23
MOZZ00000874A_D9	SHAP1723-23
MOZZ00000874A_E1	SHAP1654-23
MOZZ00000874A_E10	SHAP1733-23
MOZZ00000874A_E11	SHAP1742-23
MOZZ00000874A_E12	SHAP1750-23
MOZZ00000874A_E2	SHAP1662-23
MOZZ00000874A_E3	SHAP1671-23
MOZZ00000874A_E4	SHAP1680-23
MOZZ00000874A_E5	SHAP1689-23
MOZZ00000874A_E6	SHAP1698-23
MOZZ00000874A_E7	SHAP1706-23
MOZZ00000874A_E8	SHAP1715-23
MOZZ00000874A_E9	SHAP1724-23
MOZZ00000874A_F1	SHAP1655-23
MOZZ00000874A_F10	SHAP1734-23
MOZZ00000874A_F11	SHAP1743-23
MOZZ00000874A_F12	SHAP1752-23
MOZZ00000874A_F2	SHAP1664-23
MOZZ00000874A_F3	SHAP1672-23
MOZZ00000874A_F4	SHAP1681-23
MOZZ00000874A_F5	SHAP1690-23
MOZZ00000874A_F6	SHAP1699-23
MOZZ00000874A_F7	SHAP1708-23
MOZZ00000874A_F8	SHAP1716-23
MOZZ00000874A_F9	SHAP1725-23
MOZZ00000874A_G1	SHAP1656-23
MOZZ00000874A_G10	SHAP1735-23
MOZZ00000874A_G11	SHAP1744-23
MOZZ00000874A_G12	SHAP1753-23
MOZZ00000874A_G2	SHAP1665-23
MOZZ00000874A_G3	SHAP1673-23
MOZZ00000874A_G4	SHAP1682-23
MOZZ00000874A_G5	SHAP1691-23
MOZZ00000874A_G6	SHAP1700-23
MOZZ00000874A_G7	SHAP1709-23
MOZZ00000874A_G8	SHAP1717-23
MOZZ00000874A_G9	SHAP1726-23
MOZZ00000874A_H1	SHAP1657-23
MOZZ00000874A_H10	SHAP1736-23
MOZZ00000874A_H11	SHAP1745-23
MOZZ00000874A_H2	SHAP1666-23
MOZZ00000874A_H3	SHAP1675-23
MOZZ00000874A_H4	SHAP1683-23
MOZZ00000874A_H5	SHAP1692-23
MOZZ00000874A_H6	SHAP1701-23
MOZZ00000874A_H7	SHAP1710-23
MOZZ00000874A_H8	SHAP1719-23
MOZZ00000874A_H9	SHAP1727-23
MOZZ00000875A_A1	SHAP910-23
MOZZ00000875A_A10	SHAP989-23
MOZZ00000875A_A11	SHAP999-23
MOZZ00000875A_A12	SHAP1008-23
MOZZ00000875A_A2	SHAP919-23
MOZZ00000875A_A3	SHAP928-23
MOZZ00000875A_A4	SHAP936-23
MOZZ00000875A_A5	SHAP945-23
MOZZ00000875A_A6	SHAP954-23
MOZZ00000875A_A7	SHAP963-23
MOZZ00000875A_A8	SHAP972-23
MOZZ00000875A_A9	SHAP980-23
MOZZ00000875A_B1	SHAP911-23
MOZZ00000875A_B10	SHAP990-23
MOZZ00000875A_B11	SHAP1000-23
MOZZ00000875A_B12	SHAP1009-23
MOZZ00000875A_B2	SHAP920-23
MOZZ00000875A_B3	SHAP929-23
MOZZ00000875A_B4	SHAP938-23
MOZZ00000875A_B5	SHAP946-23
MOZZ00000875A_B6	SHAP955-23
MOZZ00000875A_B7	SHAP964-23
MOZZ00000875A_B8	SHAP973-23
MOZZ00000875A_B9	SHAP982-23
MOZZ00000875A_C1	SHAP912-23
MOZZ00000875A_C10	SHAP991-23
MOZZ00000875A_C11	SHAP1001-23
MOZZ00000875A_C12	SHAP1010-23
MOZZ00000875A_C2	SHAP921-23
MOZZ00000875A_C3	SHAP930-23
MOZZ00000875A_C4	SHAP939-23
MOZZ00000875A_C5	SHAP947-23
MOZZ00000875A_C6	SHAP956-23
MOZZ00000875A_C7	SHAP965-23
MOZZ00000875A_C8	SHAP974-23
MOZZ00000875A_C9	SHAP983-23
MOZZ00000875A_D1	SHAP913-23
MOZZ00000875A_D10	SHAP994-23
MOZZ00000875A_D11	SHAP1002-23
MOZZ00000875A_D12	SHAP1011-23
MOZZ00000875A_D2	SHAP922-23
MOZZ00000875A_D3	SHAP931-23
MOZZ00000875A_D4	SHAP940-23
MOZZ00000875A_D5	SHAP949-23
MOZZ00000875A_D6	SHAP957-23
MOZZ00000875A_D7	SHAP966-23
MOZZ00000875A_D8	SHAP975-23
MOZZ00000875A_D9	SHAP984-23
MOZZ00000875A_E1	SHAP914-23
MOZZ00000875A_E10	SHAP995-23
MOZZ00000875A_E11	SHAP1003-23
MOZZ00000875A_E12	SHAP1012-23
MOZZ00000875A_E2	SHAP923-23
MOZZ00000875A_E3	SHAP932-23
MOZZ00000875A_E4	SHAP941-23
MOZZ00000875A_E5	SHAP950-23
MOZZ00000875A_E6	SHAP958-23
MOZZ00000875A_E7	SHAP967-23
MOZZ00000875A_E8	SHAP976-23
MOZZ00000875A_E9	SHAP985-23
MOZZ00000875A_F1	SHAP916-23
MOZZ00000875A_F10	SHAP996-23
MOZZ00000875A_F11	SHAP1005-23
MOZZ00000875A_F12	SHAP1013-23
MOZZ00000875A_F2	SHAP924-23
MOZZ00000875A_F3	SHAP933-23
MOZZ00000875A_F4	SHAP942-23
MOZZ00000875A_F5	SHAP951-23
MOZZ00000875A_F6	SHAP960-23
MOZZ00000875A_F7	SHAP968-23
MOZZ00000875A_F8	SHAP977-23
MOZZ00000875A_F9	SHAP986-23
MOZZ00000875A_G1	SHAP917-23
MOZZ00000875A_G10	SHAP997-23
MOZZ00000875A_G11	SHAP1006-23
MOZZ00000875A_G12	SHAP1014-23
MOZZ00000875A_G2	SHAP925-23
MOZZ00000875A_G3	SHAP934-23
MOZZ00000875A_G4	SHAP943-23
MOZZ00000875A_G5	SHAP952-23
MOZZ00000875A_G6	SHAP961-23
MOZZ00000875A_G7	SHAP969-23
MOZZ00000875A_G8	SHAP978-23
MOZZ00000875A_G9	SHAP987-23
MOZZ00000875A_H1	SHAP918-23
MOZZ00000875A_H10	SHAP998-23
MOZZ00000875A_H11	SHAP1007-23
MOZZ00000875A_H2	SHAP927-23
MOZZ00000875A_H3	SHAP935-23
MOZZ00000875A_H4	SHAP944-23
MOZZ00000875A_H5	SHAP953-23
MOZZ00000875A_H6	SHAP962-23
MOZZ00000875A_H7	SHAP971-23
MOZZ00000875A_H8	SHAP979-23
MOZZ00000875A_H9	SHAP988-23
MOZZ00000876A_A1	SHAP1015-23
MOZZ00000876A_A10	SHAP1094-23
MOZZ00000876A_A11	SHAP1105-23
MOZZ00000876A_A12	SHAP1113-23
MOZZ00000876A_A2	SHAP1023-23
MOZZ00000876A_A3	SHAP1032-23
MOZZ00000876A_A4	SHAP1041-23
MOZZ00000876A_A5	SHAP1050-23
MOZZ00000876A_A6	SHAP1059-23
MOZZ00000876A_A7	SHAP1067-23
MOZZ00000876A_A8	SHAP1076-23
MOZZ00000876A_A9	SHAP1085-23
MOZZ00000876A_B1	SHAP1016-23
MOZZ00000876A_B10	SHAP1095-23
MOZZ00000876A_B11	SHAP1106-23
MOZZ00000876A_B12	SHAP1115-23
MOZZ00000876A_B2	SHAP1025-23
MOZZ00000876A_B3	SHAP1033-23
MOZZ00000876A_B4	SHAP1042-23
MOZZ00000876A_B5	SHAP1051-23
MOZZ00000876A_B6	SHAP1060-23
MOZZ00000876A_B7	SHAP1069-23
MOZZ00000876A_B8	SHAP1077-23
MOZZ00000876A_B9	SHAP1086-23
MOZZ00000876A_C1	SHAP1017-23
MOZZ00000876A_C10	SHAP1096-23
MOZZ00000876A_C11	SHAP1107-23
MOZZ00000876A_C12	SHAP1116-23
MOZZ00000876A_C2	SHAP1026-23
MOZZ00000876A_C3	SHAP1034-23
MOZZ00000876A_C4	SHAP1043-23
MOZZ00000876A_C5	SHAP1052-23
MOZZ00000876A_C6	SHAP1061-23
MOZZ00000876A_C7	SHAP1070-23
MOZZ00000876A_C8	SHAP1078-23
MOZZ00000876A_C9	SHAP1087-23
MOZZ00000876A_D1	SHAP1018-23
MOZZ00000876A_D10	SHAP1097-23
MOZZ00000876A_D11	SHAP1108-23
MOZZ00000876A_D12	SHAP1117-23
MOZZ00000876A_D2	SHAP1027-23
MOZZ00000876A_D3	SHAP1036-23
MOZZ00000876A_D4	SHAP1044-23
MOZZ00000876A_D5	SHAP1053-23
MOZZ00000876A_D6	SHAP1062-23
MOZZ00000876A_D7	SHAP1071-23
MOZZ00000876A_D8	SHAP1080-23
MOZZ00000876A_D9	SHAP1088-23
MOZZ00000876A_E1	SHAP1019-23
MOZZ00000876A_E10	SHAP1098-23
MOZZ00000876A_E11	SHAP1109-23
MOZZ00000876A_E12	SHAP1118-23
MOZZ00000876A_E2	SHAP1028-23
MOZZ00000876A_E3	SHAP1037-23
MOZZ00000876A_E4	SHAP1045-23
MOZZ00000876A_E5	SHAP1054-23
MOZZ00000876A_E6	SHAP1063-23
MOZZ00000876A_E7	SHAP1072-23
MOZZ00000876A_E8	SHAP1081-23
MOZZ00000876A_E9	SHAP1089-23
MOZZ00000876A_F1	SHAP1020-23
MOZZ00000876A_F10	SHAP1099-23
MOZZ00000876A_F11	SHAP1110-23
MOZZ00000876A_F12	SHAP1119-23
MOZZ00000876A_F2	SHAP1029-23
MOZZ00000876A_F3	SHAP1038-23
MOZZ00000876A_F4	SHAP1047-23
MOZZ00000876A_F5	SHAP1055-23
MOZZ00000876A_F6	SHAP1064-23
MOZZ00000876A_F7	SHAP1073-23
MOZZ00000876A_F8	SHAP1082-23
MOZZ00000876A_F9	SHAP1091-23
MOZZ00000876A_G1	SHAP1021-23
MOZZ00000876A_G10	SHAP1100-23
MOZZ00000876A_G11	SHAP1111-23
MOZZ00000876A_G12	SHAP1120-23
MOZZ00000876A_G2	SHAP1030-23
MOZZ00000876A_G3	SHAP1039-23
MOZZ00000876A_G4	SHAP1048-23
MOZZ00000876A_G5	SHAP1056-23
MOZZ00000876A_G6	SHAP1065-23
MOZZ00000876A_G7	SHAP1074-23
MOZZ00000876A_G8	SHAP1083-23
MOZZ00000876A_G9	SHAP1092-23
MOZZ00000876A_H1	SHAP1022-23
MOZZ00000876A_H10	SHAP1104-23
MOZZ00000876A_H11	SHAP1112-23
MOZZ00000876A_H2	SHAP1031-23
MOZZ00000876A_H3	SHAP1040-23
MOZZ00000876A_H4	SHAP1049-23
MOZZ00000876A_H5	SHAP1058-23
MOZZ00000876A_H6	SHAP1066-23
MOZZ00000876A_H7	SHAP1075-23
MOZZ00000876A_H8	SHAP1084-23
MOZZ00000876A_H9	SHAP1093-23
MOZZ00000877A_A1	SHAP1121-23
MOZZ00000877A_A10	SHAP1200-23
MOZZ00000877A_A11	SHAP1209-23
MOZZ00000877A_A12	SHAP1219-23
MOZZ00000877A_A2	SHAP1130-23
MOZZ00000877A_A3	SHAP1139-23
MOZZ00000877A_A4	SHAP1148-23
MOZZ00000877A_A5	SHAP1156-23
MOZZ00000877A_A6	SHAP1165-23
MOZZ00000877A_A7	SHAP1174-23
MOZZ00000877A_A8	SHAP1183-23
MOZZ00000877A_A9	SHAP1192-23
MOZZ00000877A_B1	SHAP1122-23
MOZZ00000877A_B10	SHAP1202-23
MOZZ00000877A_B11	SHAP1210-23
MOZZ00000877A_B12	SHAP1220-23
MOZZ00000877A_B2	SHAP1131-23
MOZZ00000877A_B3	SHAP1140-23
MOZZ00000877A_B4	SHAP1149-23
MOZZ00000877A_B5	SHAP1158-23
MOZZ00000877A_B6	SHAP1166-23
MOZZ00000877A_B7	SHAP1175-23
MOZZ00000877A_B8	SHAP1184-23
MOZZ00000877A_B9	SHAP1193-23
MOZZ00000877A_C1	SHAP1123-23
MOZZ00000877A_C10	SHAP1203-23
MOZZ00000877A_C11	SHAP1211-23
MOZZ00000877A_C12	SHAP1221-23
MOZZ00000877A_C2	SHAP1132-23
MOZZ00000877A_C3	SHAP1141-23
MOZZ00000877A_C4	SHAP1150-23
MOZZ00000877A_C5	SHAP1159-23
MOZZ00000877A_C6	SHAP1167-23
MOZZ00000877A_C7	SHAP1176-23
MOZZ00000877A_C8	SHAP1185-23
MOZZ00000877A_C9	SHAP1194-23
MOZZ00000877A_D1	SHAP1125-23
MOZZ00000877A_D10	SHAP1204-23
MOZZ00000877A_D11	SHAP1214-23
MOZZ00000877A_D12	SHAP1222-23
MOZZ00000877A_D2	SHAP1133-23
MOZZ00000877A_D3	SHAP1142-23
MOZZ00000877A_D4	SHAP1151-23
MOZZ00000877A_D5	SHAP1160-23
MOZZ00000877A_D6	SHAP1169-23
MOZZ00000877A_D7	SHAP1177-23
MOZZ00000877A_D8	SHAP1186-23
MOZZ00000877A_D9	SHAP1195-23
MOZZ00000877A_E1	SHAP1126-23
MOZZ00000877A_E10	SHAP1205-23
MOZZ00000877A_E11	SHAP1215-23
MOZZ00000877A_E12	SHAP1223-23
MOZZ00000877A_E2	SHAP1134-23
MOZZ00000877A_E3	SHAP1143-23
MOZZ00000877A_E4	SHAP1152-23
MOZZ00000877A_E5	SHAP1161-23
MOZZ00000877A_E6	SHAP1170-23
MOZZ00000877A_E7	SHAP1178-23
MOZZ00000877A_E8	SHAP1187-23
MOZZ00000877A_E9	SHAP1196-23
MOZZ00000877A_F1	SHAP1127-23
MOZZ00000877A_F10	SHAP1206-23
MOZZ00000877A_F11	SHAP1216-23
MOZZ00000877A_F12	SHAP1225-23
MOZZ00000877A_F2	SHAP1136-23
MOZZ00000877A_F3	SHAP1144-23
MOZZ00000877A_F4	SHAP1153-23
MOZZ00000877A_F5	SHAP1162-23
MOZZ00000877A_F6	SHAP1171-23
MOZZ00000877A_F7	SHAP1180-23
MOZZ00000877A_F8	SHAP1188-23
MOZZ00000877A_F9	SHAP1197-23
MOZZ00000877A_G1	SHAP1128-23
MOZZ00000877A_G10	SHAP1207-23
MOZZ00000877A_G11	SHAP1217-23
MOZZ00000877A_G12	SHAP1226-23
MOZZ00000877A_G2	SHAP1137-23
MOZZ00000877A_G3	SHAP1145-23
MOZZ00000877A_G4	SHAP1154-23
MOZZ00000877A_G5	SHAP1163-23
MOZZ00000877A_G6	SHAP1172-23
MOZZ00000877A_G7	SHAP1181-23
MOZZ00000877A_G8	SHAP1189-23
MOZZ00000877A_G9	SHAP1198-23
MOZZ00000877A_H1	SHAP1129-23
MOZZ00000877A_H10	SHAP1208-23
MOZZ00000877A_H11	SHAP1218-23
MOZZ00000877A_H2	SHAP1138-23
MOZZ00000877A_H3	SHAP1147-23
MOZZ00000877A_H4	SHAP1155-23
MOZZ00000877A_H5	SHAP1164-23
MOZZ00000877A_H6	SHAP1173-23
MOZZ00000877A_H7	SHAP1182-23
MOZZ00000877A_H8	SHAP1191-23
MOZZ00000877A_H9	SHAP1199-23
MOZZ00000878A_A1	SHAP1227-23
MOZZ00000878A_A10	SHAP1306-23
MOZZ00000878A_A11	SHAP1315-23
MOZZ00000878A_A12	SHAP1325-23
MOZZ00000878A_A2	SHAP1236-23
MOZZ00000878A_A3	SHAP1244-23
MOZZ00000878A_A4	SHAP1253-23
MOZZ00000878A_A5	SHAP1262-23
MOZZ00000878A_A6	SHAP1271-23
MOZZ00000878A_A7	SHAP1280-23
MOZZ00000878A_A8	SHAP1288-23
MOZZ00000878A_A9	SHAP1297-23
MOZZ00000878A_B1	SHAP1228-23
MOZZ00000878A_B10	SHAP1307-23
MOZZ00000878A_B11	SHAP1316-23
MOZZ00000878A_B12	SHAP1326-23
MOZZ00000878A_B2	SHAP1237-23
MOZZ00000878A_B3	SHAP1246-23
MOZZ00000878A_B4	SHAP1254-23
MOZZ00000878A_B5	SHAP1263-23
MOZZ00000878A_B6	SHAP1272-23
MOZZ00000878A_B7	SHAP1281-23
MOZZ00000878A_B8	SHAP1290-23
MOZZ00000878A_B9	SHAP1298-23
MOZZ00000878A_C1	SHAP1229-23
MOZZ00000878A_C10	SHAP1308-23
MOZZ00000878A_C11	SHAP1317-23
MOZZ00000878A_C12	SHAP1327-23
MOZZ00000878A_C2	SHAP1238-23
MOZZ00000878A_C3	SHAP1247-23
MOZZ00000878A_C4	SHAP1255-23
MOZZ00000878A_C5	SHAP1264-23
MOZZ00000878A_C6	SHAP1273-23
MOZZ00000878A_C7	SHAP1282-23
MOZZ00000878A_C8	SHAP1291-23
MOZZ00000878A_C9	SHAP1299-23
MOZZ00000878A_D1	SHAP1230-23
MOZZ00000878A_D10	SHAP1309-23
MOZZ00000878A_D11	SHAP1318-23
MOZZ00000878A_D12	SHAP1328-23
MOZZ00000878A_D2	SHAP1239-23
MOZZ00000878A_D3	SHAP1248-23
MOZZ00000878A_D4	SHAP1257-23
MOZZ00000878A_D5	SHAP1265-23
MOZZ00000878A_D6	SHAP1274-23
MOZZ00000878A_D7	SHAP1283-23
MOZZ00000878A_D8	SHAP1292-23
MOZZ00000878A_D9	SHAP1301-23
MOZZ00000878A_E1	SHAP1231-23
MOZZ00000878A_E10	SHAP1310-23
MOZZ00000878A_E11	SHAP1319-23
MOZZ00000878A_E12	SHAP1329-23
MOZZ00000878A_E2	SHAP1240-23
MOZZ00000878A_E3	SHAP1249-23
MOZZ00000878A_E4	SHAP1258-23
MOZZ00000878A_E5	SHAP1266-23
MOZZ00000878A_E6	SHAP1275-23
MOZZ00000878A_E7	SHAP1284-23
MOZZ00000878A_E8	SHAP1293-23
MOZZ00000878A_E9	SHAP1302-23
MOZZ00000878A_F1	SHAP1232-23
MOZZ00000878A_F10	SHAP1312-23
MOZZ00000878A_F11	SHAP1320-23
MOZZ00000878A_F12	SHAP1330-23
MOZZ00000878A_F2	SHAP1241-23
MOZZ00000878A_F3	SHAP1250-23
MOZZ00000878A_F4	SHAP1259-23
MOZZ00000878A_F5	SHAP1268-23
MOZZ00000878A_F6	SHAP1276-23
MOZZ00000878A_F7	SHAP1285-23
MOZZ00000878A_F8	SHAP1294-23
MOZZ00000878A_F9	SHAP1303-23
MOZZ00000878A_G1	SHAP1233-23
MOZZ00000878A_G10	SHAP1313-23
MOZZ00000878A_G11	SHAP1321-23
MOZZ00000878A_G12	SHAP1331-23
MOZZ00000878A_G2	SHAP1242-23
MOZZ00000878A_G3	SHAP1251-23
MOZZ00000878A_G4	SHAP1260-23
MOZZ00000878A_G5	SHAP1269-23
MOZZ00000878A_G6	SHAP1277-23
MOZZ00000878A_G7	SHAP1286-23
MOZZ00000878A_G8	SHAP1295-23
MOZZ00000878A_G9	SHAP1304-23
MOZZ00000878A_H1	SHAP1235-23
MOZZ00000878A_H10	SHAP1314-23
MOZZ00000878A_H11	SHAP1324-23
MOZZ00000878A_H2	SHAP1243-23
MOZZ00000878A_H3	SHAP1252-23
MOZZ00000878A_H4	SHAP1261-23
MOZZ00000878A_H5	SHAP1270-23
MOZZ00000878A_H6	SHAP1279-23
MOZZ00000878A_H7	SHAP1287-23
MOZZ00000878A_H8	SHAP1296-23
MOZZ00000878A_H9	SHAP1305-23
MOZZ00000881A_A1	OXWW001-23
MOZZ00000881A_A10	OXWW941-23
MOZZ00000881A_A11	OXWW1029-23
MOZZ00000881A_A12	OXWW1116-23
MOZZ00000881A_A2	OXWW1127-23
MOZZ00000881A_A3	OXWW325-23
MOZZ00000881A_A4	OXWW413-23
MOZZ00000881A_A5	OXWW501-23
